StudentID;StudentName;Course;Section;Quiz1_10;Quiz2_10;Assignment_20;Project_30;Midterm_30;Final_40;Coursework_20;FinalWeighted_80;Total_100;GradeLetter;PassFlag;CLO1_Score_100;CLO2_Score_100;CLO3_Score_100;CLO1_Achieved_70plus;CLO2_Achieved_70plus;CLO3_Achieved_70plus;Attendance_Rate_P1;Attendance_Rate_P2;Attendance_Rate_P3;Engagement_P1;Engagement_P2;Delay_P1;Delay_P2;Period1_Score;Period2_Score;Period3_Score;Risk_P1;Risk_P2;Risk_P3;Risk_Response
S031;Student_31;Data Structures;DS-B;10;9.2;16.3;27;30;39.2;18.5;78.4;96.9;A;1;91.2;91.2;98.5;1;1;1;92;98;99;100;100;3;0;93;94;96;Low Risk;Low Risk;Low Risk;No Change
S032;Student_32;Data Structures;DS-B;6.3;7.2;11.3;16.1;26.1;25;13.4;50;63.4;D;1;63.8;63.3;69.2;0;0;0;78;71;66;75;49;28;42;66;70;61;Medium Risk;Medium Risk;Medium Risk;No Change
S033;Student_33;Data Structures;DS-A;9.1;5.9;20;25.8;20.2;13.8;16.2;27.7;43.9;F;0;83.3;83.5;43.5;1;1;0;44;40;40;53;56;57;43;77;66;51;Medium Risk;Medium Risk;High Risk;Worsened
S034;Student_34;Data Structures;DS-B;7.3;9.2;18.9;26.4;6;27.1;13.6;54.1;67.7;D;1;86.5;70.6;54.7;1;1;0;59;65;70;74;68;26;51;77;63;74;Medium Risk;Medium Risk;Medium Risk;No Change
S035;Student_35;Data Structures;DS-B;9.6;4.8;20;19.2;23.7;35.4;15.5;70.8;86.2;B;1;81.3;74.6;85.9;1;1;1;93;83;89;83;76;24;26;94;77;81;Low Risk;Medium Risk;Low Risk;Mixed
S036;Student_36;Data Structures;DS-B;8.9;8.7;19.6;24.9;27.8;40;18;80;98;A;1;91.3;88.4;98;1;1;1;88;86;92;100;100;1;0;94;93;93;Low Risk;Low Risk;Low Risk;No Change
S037;Student_37;Data Structures;DS-B;10;10;20;16.4;30;29;17.3;58;75.3;C;1;100;75.3;80;1;1;1;77;78;90;68;77;16;8;89;93;71;Low Risk;Low Risk;Medium Risk;Worsened
S038;Student_38;Data Structures;DS-B;2.4;8.4;19.4;30;19.9;21.4;16;42.7;58.8;F;0;68.3;90.3;57;0;1;0;43;61;63;56;53;38;55;56;73;69;High Risk;Medium Risk;Medium Risk;Improved
S039;Student_39;Data Structures;DS-B;6.8;5.8;15.7;21.8;20.1;40;14;80;94;A;1;68.2;72.2;91;0;1;1;83;94;84;89;95;10;5;78;76;89;Medium Risk;Medium Risk;Low Risk;Improved
S040;Student_40;Data Structures;DS-B;6;3.6;20;22.6;21.3;33.3;14.7;66.6;81.3;B;1;65.3;78.6;79.9;0;1;1;83;79;87;82;77;13;31;81;72;82;Low Risk;Medium Risk;Low Risk;Mixed
S041;Student_41;Data Structures;DS-A;7.8;4.8;17.3;29;29;29.9;17.6;59.8;77.4;C;1;70.8;94.8;80.7;1;1;1;83;66;70;100;79;14;7;86;78;80;Low Risk;Medium Risk;Low Risk;Mixed
S042;Student_42;Data Structures;DS-B;6.6;3.4;20;22.3;17;23.4;13.8;46.8;60.6;D;1;66.7;74.2;58;0;1;0;62;57;67;42;67;42;33;71;62;65;Medium Risk;Medium Risk;Medium Risk;No Change
S043;Student_43;Data Structures;DS-A;6.7;10;14.1;26;23.3;24;16;47.9;64;D;1;79.2;81.3;64.8;1;1;0;63;61;73;71;80;38;36;68;79;71;Medium Risk;Medium Risk;Medium Risk;No Change
S044;Student_44;Data Structures;DS-A;9.4;7.4;14.8;17.8;18.4;40;13.6;80;93.6;A;1;80.7;62.5;89.5;1;0;1;91;87;87;77;81;1;7;84;73;85;Low Risk;Medium Risk;Low Risk;Mixed
S045;Student_45;Data Structures;DS-B;10;5.4;19.6;20.2;25.6;29.8;16.2;59.7;75.8;C;1;84;77.8;77.5;1;1;1;64;75;84;71;97;19;20;86;82;74;Low Risk;Low Risk;Medium Risk;Worsened
S046;Student_46;Data Structures;DS-B;2.4;4.8;20;16;14.7;27.7;11.6;55.4;67;D;1;57.3;60.6;63.7;0;0;0;61;70;70;78;47;35;39;65;62;65;Medium Risk;Medium Risk;Medium Risk;No Change
S047;Student_47;Data Structures;DS-B;7.4;5.3;17.6;22;26.3;27.9;15.7;55.8;71.5;C;1;71.7;79.9;74.6;1;1;1;68;87;78;72;70;14;18;77;78;72;Medium Risk;Medium Risk;Medium Risk;No Change
S048;Student_48;Data Structures;DS-B;8.6;7.2;14.1;28.2;21;40;15.8;80;95.8;A;1;76.2;83.2;91.8;1;1;1;100;97;100;85;100;0;3;84;79;98;Low Risk;Medium Risk;Low Risk;Mixed
S049;Student_49;Data Structures;DS-A;8;4.8;16.5;24.1;22.7;27.3;15.2;54.6;69.8;D;1;70.2;79.5;70.3;1;1;1;73;72;68;63;73;23;31;76;71;72;Medium Risk;Medium Risk;Medium Risk;No Change
S050;Student_50;Data Structures;DS-B;7.3;10;15;27.4;27.2;37;17.4;74.1;91.4;A;1;82.7;88.2;92;1;1;1;77;91;85;98;85;6;14;79;89;91;Medium Risk;Low Risk;Low Risk;Improved
S051;Student_51;Data Structures;DS-A;5.3;6.1;20;17.9;30;34.1;15.9;68.3;84.1;B;1;71.3;78;89.3;1;1;1;87;69;77;77;82;19;23;79;85;76;Medium Risk;Low Risk;Medium Risk;Mixed
S052;Student_52;Data Structures;DS-A;6.1;6;20;18.6;13.8;33.9;12.9;67.8;80.7;B;1;73.7;64.5;74.2;1;0;1;78;80;74;83;76;34;8;80;69;76;Low Risk;Medium Risk;Medium Risk;Worsened
S053;Student_53;Data Structures;DS-B;9.4;8.8;20;20.7;30;25;17.8;50;67.7;D;1;94;83.1;72.7;1;1;1;62;68;67;68;62;41;17;84;87;65;Low Risk;Low Risk;Medium Risk;Worsened
S054;Student_54;Data Structures;DS-B;10;10;18.2;25.9;27.3;37.3;18.3;74.5;92.8;A;1;97;88.5;92.6;1;1;1;98;100;96;86;100;6;20;94;96;92;Low Risk;Low Risk;Low Risk;No Change
S055;Student_55;Data Structures;DS-B;8.2;10;14.8;24.8;22.2;40;16;80;96;A;1;85.3;78.7;92.9;1;1;1;100;94;98;100;100;4;7;87;86;94;Low Risk;Low Risk;Low Risk;No Change
S056;Student_56;Data Structures;DS-B;6.3;6.8;20;22.9;30;31.6;17.2;63.2;80.4;B;1;77;87.1;84.7;1;1;1;88;83;87;87;73;10;12;84;87;80;Low Risk;Low Risk;Low Risk;No Change
S057;Student_57;Data Structures;DS-A;8.2;8.6;20;26.1;25.1;24.6;17.6;49.3;66.9;D;1;89.3;88.5;67.5;1;1;0;60;67;67;47;76;33;49;76;84;70;Medium Risk;Low Risk;Medium Risk;Mixed
S058;Student_58;Data Structures;DS-B;7.5;8.4;19.3;22.2;30;21.7;17.5;43.3;60.8;D;1;85.2;85.2;66.7;1;1;0;58;51;72;63;64;36;40;76;83;64;Medium Risk;Low Risk;Medium Risk;Mixed
S059;Student_59;Data Structures;DS-A;9.1;9.3;16.9;22.9;20.4;33.5;15.7;67.1;82.8;B;1;89.5;75.5;79.5;1;1;1;85;92;81;76;91;20;29;85;83;81;Low Risk;Low Risk;Low Risk;No Change
S060;Student_60;Data Structures;DS-A;8.2;8.6;20;29.5;18.8;29.8;17;59.6;76.7;C;1;89.3;88.9;71.3;1;1;1;85;83;98;85;83;15;24;89;81;86;Low Risk;Low Risk;Low Risk;No Change
